datetime,activity
2022/9/26 09:19,walking
2022/9/26 09:24,other
2022/9/26 09:59,walking
2022/9/26 10:03,sitting
2022/9/26 11:55,walking
2022/9/26 11:57,driving
2022/9/26 12:49,walking
2022/9/26 12:52,eating
2022/9/26 13:12,bathroom
2022/9/26 13:19,walking
2022/9/26 13:20,sitting
2022/9/26 14:08,lying
2022/9/26 17:31,walking
2022/9/26 17:34,driving
2022/9/26 17:46,sitting
2022/9/26 17:55,eating
2022/9/26 18:05,sitting
2022/9/26 19:18,driving
2022/9/26 19:29,walking
2022/9/26 19:32,sitting
2022/9/26 21:00,bathroom
2022/9/26 21:09,walking
2022/9/26 21:30,lying
2022/9/26 22:12,sitting
2022/9/26 22:16,eating
2022/9/26 22:40,walking
2022/9/26 23:00,lying
2022/9/26 23:23,using_computer
2022/9/27 13:17,using_computer
2022/9/27 14:54,sitting
2022/9/27 14:56,lying
2022/9/27 16:47,walking
2022/9/27 17:19,sitting
2022/9/27 18:40,bathroom
2022/9/27 18:41,sitting
2022/9/27 19:00,eating
2022/9/27 19:41,sitting
2022/9/27 19:53,bathroom
2022/9/27 20:10,lying
2022/9/28 07:25,walking
2022/9/28 07:44,standing
2022/9/28 07:50,walking
2022/9/28 07:56,sitting
2022/9/28 07:57,eating
2022/9/28 08:19,sitting
2022/9/28 09:54,bathroom
2022/9/28 10:04,sitting
2022/9/28 11:42,lying
2022/9/28 14:11,bathroom
2022/9/28 14:16,lying
2022/9/28 15:52,using_computer
2022/9/28 16:32,eating
2022/9/28 18:06,sitting
2022/9/28 18:18,bathroom
2022/9/28 18:20,using_computer
2022/9/28 21:43,walking
2022/9/28 21:46,riding
2022/9/28 21:50,walking
2022/9/28 22:04,riding
2022/9/28 22:08,walking
2022/9/28 22:27,using_computer
2022/9/29 14:35,walking
2022/9/29 14:47,sitting
2022/9/29 14:53,walking
2022/9/29 14:57,standing
2022/9/29 15:04,walking
2022/9/29 15:07,sitting
2022/9/29 15:10,eating
2022/9/29 15:28,sitting
2022/9/29 18:01,using_computer
2022/9/29 18:08,bathroom
2022/9/29 18:19,using_computer
2022/9/29 20:24,walking
2022/9/29 20:46,sitting
2022/9/29 20:47,eating
2022/9/29 21:22,sitting
2022/9/29 22:08,lying
2022/9/29 22:42,bathroom
2022/9/29 22:57,walking
2022/9/29 23:05,using_computer
2022/9/30 16:30,walking
2022/9/30 16:50,sitting
2022/9/30 22:52,using_computer
2022/10/1 16:53,walking
2022/10/1 16:55,sitting
2022/10/1 17:10,walking
2022/10/1 17:13,driving
2022/10/1 17:26,walking
2022/10/1 17:28,sitting
2022/10/1 19:37,eating
2022/10/1 20:25,sitting
2022/10/1 22:10,driving
2022/10/1 22:24,walking
2022/10/1 22:26,sitting
2022/10/1 23:21,walking
2022/10/2 12:42,walking
2022/10/2 12:44,driving
2022/10/2 13:01,walking
2022/10/2 13:34,driving
2022/10/2 13:54,walking
2022/10/2 13:56,sitting
2022/10/2 14:02,eating
2022/10/2 14:35,bathroom
2022/10/2 14:42,sitting
2022/10/2 16:09,lying
2022/10/2 16:19,walking
2022/10/2 16:23,driving
2022/10/2 16:43,walking
2022/10/2 16:49,sitting
2022/10/2 19:46,walking
2022/10/2 19:53,driving
2022/10/2 20:18,walking
2022/10/2 20:19,sitting
2022/10/2 20:34,driving
2022/10/2 20:52,walking
2022/10/2 20:54,using_computer
2022/10/3 20:01,using_computer
2022/10/4 14:27,lying
2022/10/4 18:35,walking
2022/10/4 18:38,bathroom
2022/10/4 18:39,walking
2022/10/4 18:46,riding
2022/10/4 18:58,walking
2022/10/4 19:17,sitting
2022/10/4 19:31,walking
2022/10/4 19:37,riding
2022/10/4 19:49,walking
2022/10/4 19:51,eating
2022/10/4 20:33,sitting
2022/10/4 20:19,bathroom
2022/10/4 20:45,using_computer
2022/10/5 08:17,walking
2022/10/5 08:34,standing
2022/10/5 08:41,walking
2022/10/5 08:46,sitting
2022/10/5 08:47,eating
2022/10/5 09:04,sitting
2022/10/5 10:16,lying
2022/10/5 14:49,walking
2022/10/5 14:53,driving
2022/10/5 15:17,walking
2022/10/5 15:26,using_computer
2022/10/5 15:48,bathroom
2022/10/5 15:55,using_computer
2022/10/5 18:05,walking
2022/10/5 18:22,sitting
2022/10/5 18:35,walking
2022/10/5 18:46,eating
2022/10/5 19:37,sitting
2022/10/5 19:39,lying
2022/10/6 13:27,walking
2022/10/6 13:50,sitting
2022/10/6 13:52,eating
2022/10/6 14:01,sitting
2022/10/6 14:12,bathroom
2022/10/6 14:28,walking
2022/10/6 14:34,driving
2022/10/6 15:13,walking
2022/10/6 15:32,driving
2022/10/6 16:21,walking
2022/10/6 16:23,sitting
2022/10/6 18:02,bathroom
2022/10/6 18:04,walking
2022/10/6 18:09,riding
2022/10/6 18:46,walking
2022/10/6 20:46,using_computer
2022/10/7 06:12,walking
2022/10/7 06:17,riding
2022/10/7 06:20,standing
2022/10/7 06:33,riding
2022/10/7 06:56,walking
2022/10/7 06:58,eating
2022/10/7 07:27,lying
2022/10/7 14:39,walking
2022/10/7 14:41,using_computer
2022/10/7 17:10,walking
2022/10/7 17:14,driving
2022/10/7 17:17,walking
2022/10/7 17:29,using_computer
2022/10/8 10:49,walking
2022/10/8 10:54,other
2022/10/8 11:06,standing
2022/10/8 11:13,sitting
2022/10/8 11:21,walking
2022/10/8 11:25,sitting
2022/10/8 11:36,other
2022/10/8 11:38,walking
2022/10/8 12:09,sitting
2022/10/8 12:11,eating
2022/10/8 12:30,sitting
2022/10/8 13:22,using_computer
2022/10/8 16:24,walking
2022/10/8 17:05,other
2022/10/8 17:16,sitting
2022/10/8 19:04,eating
2022/10/8 20:05,sitting
2022/10/8 20:40,walking
2022/10/8 20:44,driving
2022/10/8 20:55,walking
2022/10/8 20:58,bathroom
2022/10/8 21:03,sitting
2022/10/8 22:00,using_computer
2022/10/10 19:06,walking
2022/10/10 19:10,driving
2022/10/10 19:24,walking
2022/10/10 19:26,sitting
2022/10/10 19:36,eating
2022/10/10 19:54,walking
2022/10/10 19:56,driving
2022/10/10 20:05,walking
2022/10/10 20:07,sitting
2022/10/10 20:33,bathroom
2022/10/10 20:52,walking
2022/10/10 21:00,using_computer
2022/10/11 22:36,using_computer
2022/10/12 14:53,walking
2022/10/12 14:55,driving
2022/10/12 15:15,walking
2022/10/12 15:19,using_computer
2022/10/12 15:25,bathroom
2022/10/12 15:33,using_computer
2022/10/12 18:15,walking
2022/10/12 18:53,eating
2022/10/12 19:34,sitting
2022/10/12 19:43,using_computer
2022/10/13 09:41,sitting
2022/10/13 10:51,walking
2022/10/13 11:17,sitting
2022/10/13 11:19,eating
2022/10/13 11:42,sitting
2022/10/13 12:14,using_computer
2022/10/13 12:56,bathroom
2022/10/13 13:12,using_computer
2022/10/13 17:27,walking
2022/10/13 17:44,standing
2022/10/13 17:50,walking
2022/10/13 17:55,eating
2022/10/13 18:21,sitting
2022/10/15 11:36,using_computer
2022/10/15 12:53,sitting
2022/10/15 13:03,eating
2022/10/15 13:42,sitting
2022/10/15 14:56,bathroom
2022/10/15 15:07,sitting
2022/10/15 15:10,lying
2022/10/15 17:17,walking
2022/10/15 17:22,driving
2022/10/15 17:37,sitting
2022/10/16 11:21,using_computer
2022/10/16 12:11,walking
2022/10/16 12:14,driving
2022/10/16 12:34,walking
2022/10/16 13:14,driving
2022/10/16 13:48,walking
2022/10/16 13:51,eating
2022/10/16 14:18,bathroom
2022/10/16 14:19,sitting
2022/10/16 16:12,standing
2022/10/16 16:15,walking
2022/10/16 16:18,driving
2022/10/16 16:39,walking
2022/10/16 16:42,sitting
2022/10/16 17:49,eating
2022/10/16 17:55,sitting
2022/10/16 18:56,driving
2022/10/16 19:20,sitting
2022/10/16 20:29,standing
2022/10/16 20:31,driving
2022/10/16 20:54,walking
2022/10/16 21:40,using_computer
2022/10/17 09:07,walking
2022/10/17 09:10,other
2022/10/17 09:51,walking
2022/10/17 09:54,sitting
2022/10/17 09:57,walking
2022/10/17 10:00,sitting
2022/10/17 11:09,walking
2022/10/17 11:15,sitting
2022/10/17 11:50,walking
2022/10/17 11:51,driving
2022/10/17 12:51,walking
2022/10/17 12:53,bathroom
2022/10/17 12:55,sitting
2022/10/17 12:57,eating
2022/10/17 13:24,sitting
2022/10/18 14:05,bathroom
2022/10/18 14:16,walking
2022/10/18 14:46,using_computer
2022/10/18 14:52,bathroom
2022/10/18 15:12,using_computer
2022/10/18 18:19,eating
2022/10/18 18:42,sitting
2022/10/18 21:55,using_computer
2022/10/19 15:20,lying
2022/10/19 15:32,bathroom
2022/10/19 15:47,walking
2022/10/19 16:16,other
2022/10/19 18:01,sitting
2022/10/19 18:18,eating
2022/10/19 18:33,sitting
2022/10/19 18:38,walking
2022/10/19 20:06,sitting
2022/10/20 11:52,walking
2022/10/20 12:10,sitting
2022/10/20 12:28,eating
2022/10/20 12:38,walking
2022/10/20 13:32,sitting
2022/10/20 14:40,bathroom
2022/10/20 14:58,sitting
2022/10/20 15:03,lying
2022/10/20 16:51,sitting
2022/10/22 15:09,using_computer
2022/10/22 16:59,lying
2022/10/22 17:33,walking
2022/10/22 17:38,other
2022/10/22 17:55,sitting
2022/10/22 18:22,eating
2022/10/22 19:30,sitting
2022/10/22 23:40,driving
2022/10/22 23:58,walking
2022/10/24 09:18,walking
2022/10/24 10:01,sitting
2022/10/24 11:53,walking
2022/10/24 11:55,driving
2022/10/24 12:23,walking
2022/10/24 12:31,sitting
2022/10/24 12:40,eating
2022/10/24 12:52,walking
2022/10/24 12:55,driving
2022/10/24 13:40,walking
2022/10/24 13:43,bathroom
2022/10/24 13:56,walking
2022/10/24 14:00,using_computer
2022/10/26 15:37,using_computer
2022/10/26 18:14,sitting
2022/10/26 18:18,eating
2022/10/26 18:58,sitting
2022/10/26 20:15,walking
2022/10/26 20:17,riding
2022/10/26 20:26,standing
2022/10/26 20:33,riding
2022/10/26 20:37,walking
2022/10/26 22:03,using_computer
2022/10/27 14:10,walking
2022/10/27 14:17,standing
2022/10/27 14:24,walking
2022/10/27 14:42,eating
2022/10/27 15:18,bathroom
2022/10/27 15:32,sitting
2022/10/27 16:50,bathroom
2022/10/27 17:06,using_computer
2022/10/27 19:10,walking
2022/10/27 19:13,riding
2022/10/27 19:17,walking
2022/10/27 19:25,riding
2022/10/27 19:35,standing
2022/10/27 19:40,riding
2022/10/27 19:47,eating
2022/10/27 20:19,using_computer
2022/10/28 14:56,walking
2022/10/28 15:12,sitting
2022/10/28 15:15,walking
2022/10/28 15:22,eating
2022/10/28 15:35,sitting
2022/10/28 16:22,using_computer
2022/10/28 16:51,walking
2022/10/28 16:54,driving
2022/10/28 16:56,walking
2022/10/28 16:58,standing
2022/10/28 17:01,walking
2022/10/28 17:07,bathroom
2022/10/28 17:18,using_computer
2022/10/28 19:51,sitting
2022/10/28 20:15,eating
2022/10/28 20:48,walking
2022/10/28 21:20,sitting
2022/10/28 22:10,lying
2022/10/28 22:16,sitting
2022/10/28 22:19,lying
2022/10/28 23:24,using_computer
